symbol,timestamp,signal,entry_ltp,exit_ltp,pnl,target,SMMA20,SMMA120,SMMA_gap,price_change_pct,volume
NSE_KOTAKBANK-EQ,1769930400,SELL,405.95,404.2,1.75,1,410.44906364261215,410.61663516484583,-0.1675715222336862,-0.18441111384312764,365608
NSE_RELIANCE-EQ,1769930400,SELL,1379.1,1366.8,12.299999999999955,1,1393.9827047152257,1394.2511874625195,-0.2684827472937741,0.41502839667975955,74322
NSE_TCS-EQ,1769931600,BUY,3187.0,3200.0,13.0,1,3139.2681340858608,3137.424693850966,1.8434402348948424,-0.5864370827874533,226675
NSE_HDFCBANK-EQ,1769932800,SELL,928.35,925.25,3.1000000000000227,1,931.9190416217722,931.9335466737027,-0.014505051930541413,-0.08072328059412334,62158
NSE_INFY-EQ,1769933700,BUY,1659.8,1656.6,-3.2000000000000455,0,1640.1070984688517,1639.8814633325485,0.2256351363032536,-0.34223956769739095,51474
NSE_LT-EQ,1769937000,SELL,3872.5,3906.2,-33.69999999999982,0,3900.3152383441766,3900.6268385051167,-0.31160016094008824,-0.17271602392245355,13551
NSE_AXISBANK-EQ,1769938200,SELL,1340.6,1341.3,-0.7000000000000455,0,1351.8292507359633,1352.2772394155188,-0.44798867955546484,-0.24555398467149206,78189
NSE_INFY-EQ,1770007500,SELL,1629.8,1633.7,-3.900000000000091,0,1641.2997363786485,1641.345978644055,-0.04624226540659038,0.10441619065168267,62205
NSE_LT-EQ,1770017700,BUY,3918.6,3912.8,-5.799999999999727,0,3895.8579865211277,3895.2859570492856,0.5720294718421428,0.0945107154716549,15448
NSE_RELIANCE-EQ,1770090300,BUY,1447.1,1446.5,-0.599999999999909,0,1384.838950328213,1382.4825575285238,2.3563927996892744,4.257925072046103,5206907
NSE_HDFCBANK-EQ,1770090900,BUY,953.25,951.45,-1.7999999999999545,0,928.9923469975186,928.462069146544,0.5302778509745849,-0.17801979161213105,1184383
NSE_ICICIBANK-EQ,1770090900,BUY,1392.3,1392.8,0.5,1,1354.3077890717323,1352.8565196987925,1.4512693729398052,-0.12195121951219838,606316
NSE_KOTAKBANK-EQ,1770091200,BUY,419.6,422.9,3.2999999999999545,1,409.51922765442606,409.11910643414575,0.4001212202803117,0.32277346084878006,627481
NSE_INFY-EQ,1770091500,BUY,1672.5,1670.1,-2.400000000000091,0,1638.5534775017713,1637.4736172100013,1.0798602917700464,-0.005978715771846769,170750
NSE_SBIN-EQ,1770095400,BUY,1059.2,1059.8,0.599999999999909,1,1039.5975568820973,1039.2968039027367,0.3007529793605954,0.06613131790269679,242125
NSE_AXISBANK-EQ,1770095700,BUY,1353.8,1360.2,6.400000000000091,1,1339.9117910496848,1339.584026433164,0.32776461652088074,0.17759360663015122,25780
NSE_INFY-EQ,1770177300,SELL,1556.1,1538.9,17.199999999999818,1,1646.795647682168,1647.8383070143743,-1.0426593322063127,-0.3458213256484208,885509
NSE_TCS-EQ,1770178200,SELL,3062.2,3042.2,20.0,1,3178.2279856440427,3180.9005695251885,-2.6725838811457834,0.15699614051153682,92181
NSE_AXISBANK-EQ,1770189600,SELL,1337.8,1345.3,-7.5,0,1346.795533190018,1346.9281120443889,-0.1325788543708768,0.014952153110051249,47243
NSE_KOTAKBANK-EQ,1770190200,SELL,410.95,412.75,-1.8000000000000114,0,413.4080086062824,413.4227339326499,-0.014725326367511116,-0.012165450121657267,77805
NSE_HDFCBANK-EQ,1770354000,SELL,943.35,942.1,1.25,1,947.0276700316542,947.1173074860861,-0.08963745443190874,0.03181167488468991,129567
NSE_KOTAKBANK-EQ,1770356100,BUY,415.15,423.0,7.850000000000023,1,410.8672626775607,410.85613424788255,0.011128429678137763,0.4719264278799586,138961
NSE_SBIN-EQ,1770357000,SELL,1057.4,1053.5,3.900000000000091,1,1064.5879038566516,1064.7579913608656,-0.1700875042140524,0.08518693800284818,73988
NSE_AXISBANK-EQ,1770360000,BUY,1341.3,1337.9,-3.3999999999998636,0,1336.1592719994196,1335.9915080870971,0.1677639123224708,0.059679224170082396,37143
NSE_SBIN-EQ,1770608700,BUY,1131.7,1130.3,-1.400000000000091,0,1064.5370122089255,1063.3387426525956,1.198269556329933,6.163227016885558,5854947
